id,x,y
0,1.376454e+04,2.055116e+03
1,1.374910e+04,2.056092e+03
2,1.377650e+04,2.058374e+03
3,1.377763e+04,2.078237e+03
4,1.376322e+04,2.086394e+03
5,1.375559e+04,2.100322e+03
6,1.377000e+04,2.120779e+03
7,1.669586e+04,2.129888e+03
8,1.666657e+04,2.131975e+03
9,1.366458e+04,2.132662e+03
10,1.532844e+04,2.139057e+03
11,1.494818e+04,2.142772e+03
12,1.613242e+04,2.137305e+03
13,1.665653e+04,2.147133e+03
14,1.668492e+04,2.147510e+03
15,1.531590e+04,2.151707e+03
16,1.669888e+04,2.151062e+03
17,1.551811e+04,2.158477e+03
18,1.374937e+04,2.154341e+03
19,1.636327e+04,2.155307e+03
20,1.467402e+04,2.170977e+03
21,1.523574e+04,2.182627e+03
22,1.622143e+04,2.171258e+03
23,1.665576e+04,2.172229e+03
24,1.541408e+04,2.175916e+03
25,1.495926e+04,2.179106e+03
26,1.515959e+04,2.173842e+03
27,1.529174e+04,2.181801e+03
28,1.595465e+04,2.185107e+03
29,1.575647e+04,2.185117e+03
30,1.469872e+04,2.187304e+03
31,1.596966e+04,2.184757e+03
32,1.610753e+04,2.186691e+03
33,1.638270e+04,2.186942e+03
34,1.478868e+04,2.189648e+03
35,1.515388e+04,2.191747e+03
36,1.507359e+04,2.194006e+03
37,1.458109e+04,2.192731e+03
38,1.468361e+04,2.197445e+03
39,1.489529e+04,2.198012e+03
40,1.525387e+04,2.195352e+03
41,1.554887e+04,2.199808e+03
42,1.404022e+04,2.198363e+03
43,1.650364e+04,2.194490e+03
44,1.471909e+04,2.201471e+03
45,1.480283e+04,2.195079e+03
46,1.579300e+04,2.200363e+03
47,1.541015e+04,2.203696e+03
48,1.556549e+04,2.201265e+03
49,1.454627e+04,2.207636e+03
50,1.496401e+04,2.213160e+03
51,1.422405e+04,2.211577e+03
52,1.479888e+04,2.206860e+03
53,1.477075e+04,2.212769e+03
54,1.597206e+04,2.208111e+03
55,1.583031e+04,2.210569e+03
56,1.494801e+04,2.214349e+03
57,1.400909e+04,2.211470e+03
58,1.445046e+04,2.217000e+03
59,1.506639e+04,2.215678e+03
60,1.635904e+04,2.212899e+03
61,1.404815e+04,2.215433e+03
62,1.534276e+04,2.214556e+03
63,1.555643e+04,2.217826e+03
64,1.450910e+04,2.220570e+03
65,1.508703e+04,2.221551e+03
66,1.464050e+04,2.225489e+03
67,1.503743e+04,2.223058e+03
68,1.522361e+04,2.223378e+03
69,1.420979e+04,2.223810e+03
70,1.452439e+04,2.223446e+03
71,1.635577e+04,2.223077e+03
72,1.401050e+04,2.229603e+03
73,1.507444e+04,2.224184e+03
74,1.553245e+04,2.225750e+03
75,1.653567e+04,2.232409e+03
76,1.423100e+04,2.231861e+03
77,1.494202e+04,2.232549e+03
78,1.458169e+04,2.229849e+03
79,1.497438e+04,2.228398e+03
80,1.672922e+04,2.235176e+03
81,1.276381e+04,2.235933e+03
82,1.352261e+04,2.234863e+03
83,1.470369e+04,2.232923e+03
84,1.534858e+04,2.235468e+03
85,1.421722e+04,2.236738e+03
86,1.468432e+04,2.234323e+03
87,1.425238e+04,2.237178e+03
88,1.670243e+04,2.237832e+03
89,1.507795e+04,2.238562e+03
90,1.633768e+04,2.237571e+03
91,1.403985e+04,2.239622e+03
92,1.475722e+04,2.241683e+03
93,1.407782e+04,2.247598e+03
94,1.412466e+04,2.247390e+03
95,1.456629e+04,2.246135e+03
96,1.450416e+04,2.252834e+03
97,1.320092e+04,2.249954e+03
98,1.485539e+04,2.250533e+03
99,1.516723e+04,2.248758e+03
100,1.628901e+04,2.249574e+03
101,1.518630e+04,2.255260e+03
102,1.455428e+04,2.253446e+03
103,1.533990e+04,2.256039e+03
104,1.617970e+04,2.253155e+03
105,1.670233e+04,2.249929e+03
106,1.672078e+04,2.249724e+03
107,1.418562e+04,2.255026e+03
108,1.425201e+04,2.251055e+03
109,1.438215e+04,2.260777e+03
110,1.467351e+04,2.258562e+03
111,1.484469e+04,2.262882e+03
112,1.508496e+04,2.257456e+03
113,1.545777e+04,2.258865e+03
114,1.664463e+04,2.260811e+03
115,1.398390e+04,2.262319e+03
116,1.539715e+04,2.259803e+03
117,1.530753e+04,2.269820e+03
118,1.535519e+04,2.261805e+03
119,1.311462e+04,2.264447e+03
120,1.406029e+04,2.266811e+03
121,1.469282e+04,2.263203e+03
122,1.424094e+04,2.264025e+03
123,1.673202e+04,2.270155e+03
124,1.422494e+04,2.265587e+03
125,1.479260e+04,2.262669e+03
126,1.616767e+04,2.264972e+03
127,1.627017e+04,2.268805e+03
128,1.645833e+04,2.266915e+03
129,1.431852e+04,2.270653e+03
130,6.850925e+03,2.275164e+03
131,1.278396e+04,2.268114e+03
132,1.319710e+04,2.271857e+03
133,1.356004e+04,2.269492e+03
134,1.329843e+04,2.273074e+03
135,1.606217e+04,2.270716e+03
136,1.418249e+04,2.271808e+03
137,1.494739e+04,2.273285e+03
138,1.631346e+04,2.272373e+03
139,1.474027e+04,2.277143e+03
140,1.454843e+04,2.275512e+03
141,1.499177e+04,2.279447e+03
142,1.599409e+04,2.274182e+03
